date,domain_name
20220117113436,vas-lf-x.douyin.com
20220117113437,tos-alinc2bgp-hl-slb1.douyin.com
20220117171006,tos-alinc22lf-ct-act.douyin.com
20220117171006,tos-alinc22lf-ct-act.douyin.com
20220117105605,vas-lf-x.douyin.com
20220117105605,tos-alinc2bgp-hl-slb4.douyin.com
